Profile ID,Exam Score,Prediction (first submitted answer),Prediction (last submitted answer),Number of Practice Exams Survey Answer,Delayed Feedback Format?,Number of Practice Questions Done,Number of Practice Questions Done Before Survey,Time of 20th submission (hours before exam)
34909,62.5,80.0,80.0,0,1,15,0,NULL
29722,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36298,43.8,75.0,75.0,1,0,10,0,NULL
34906,81.2,80.0,80.0,1,1,93,23,-48.016666666666666
33641,78.1,50.0,50.0,4,1,34,8,-20.233333333333334
33642,78.1,70.0,70.0,1,1,20,12,-6.616666666666666
33645,96.9,100.0,100.0,4,0,93,93,-145.25
33646,56.2,100.0,50.0,3,0,70,0,-4.766666666666667
33648,71.9,65.0,65.0,4,1,93,93,-99.18333333333334
30666,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
34349,93.7,NULL,NULL,NULL,1,80,0,-24.983333333333334
36178,84.4,100.0,80.0,4,1,84,0,-6.8
35988,75,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35989,71.9,NULL,NULL,NULL,1,16,0,NULL
19968,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36239,93.7,60.0,60.0,3,1,93,23,-148.48333333333332
36238,78.1,100.0,100.0,2,NULL,0.0,0.0,NULL
35980,56.2,85.0,85.0,0,1,39,0,-47.266666666666666
35981,100,100.0,100.0,4,0,93,93,-80.2
35982,81.2,80.0,80.0,2,1,80,0,-8.033333333333333
35983,84.4,85.0,85.0,2,1,47,0,-32.85
35984,0,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35985,75,70.0,70.0,1,1,0,0,NULL
35986,78.1,85.0,85.0,0,NULL,0.0,0.0,NULL
35987,90.6,86.0,86.0,2,0,78,0,-4.166666666666667
36292,100,100.0,100.0,0,1,23,0,-3.2
35794,59.4,70.0,70.0,2,1,69,33,-97.98333333333333
36179,90.6,70.0,70.0,NULL,0,90,0,-48.266666666666666
35956,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
36300,NULL,NULL,NULL,NULL,1,0,0,NULL
35253,71.9,100.0,100.0,0,0,23,0,-2.3833333333333333
35796,87.5,100.0,100.0,3,1,93,47,-170.61666666666667
36033,90.6,90.0,90.0,3,0,84,70,-177.71666666666667
30203,81.2,100.0,92.0,2,1,93,0,-32.61666666666667
24937,NULL,NULL,NULL,NULL,NULL,0.0,0.0,NULL
35658,87.5,100.0,100.0,2,1,30,0,-2.566666666666667
35947,93.7,85.0,85.0,1,1,12,0,NULL
35925,93.7,80.0,80.0,2,1,48,48,-73.35
30208,96.9,80.0,80.0,2,0,93,45,-25.633333333333333
35659,62.5,3.0,3.0,0,1,9,0,NULL
